Min	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.109999999	0.107699998	0.114500001	0.110399999	0.121200003	0.118000001	0.114	0.113600001	0.107100002	0.120099999	0.1074	0.107799999	0.100699998	0.113499999	0.111199997	0.1193	0.1184	0.112000003	0.113799997	0.115699999	0.112899996	0.106899999	0.1153	0.107199997	0.108499996	0.108900003	0.110100001	0.1228	0.127499998	0.1215	0.110100001	0.114600003	0.1149	0.109200001	0.115000002	0.110200003	0.116599999	0.107900001	0.114100002	0.113899998	0.128299996	0.123899996	0.112300001	0.1105	0.115500003	0.129299998	0.121399999	0.112400003	0.112499997	0.1118	0.115500003	0.118600003	0.113600001	0.119499996	0.110100001	0.113300003	0.118000001	0.111900002	0.116300002	0.113200001	0.119499996	0.116899997	0.110600002	0.112099998	0.115000002	0.112199999	0.1175	0.116700001	0.120300002	0.116599999	0.119400002	0.111100003	0.105800003	0.116999999	0.106299996	0.115800001	0.1105	0.120099999	0.111000001	0.113200001	0.118500002	0.113700002	0.125799999	0.111400001	0.112099998	0.126499996	0.114500001	0.124399997	0.127200007	0.117700003	0.115900002	0.116899997	0.122199997	0.131500006	0.132100001	0.109300002
13.94666667	0.109899998	0.107000001	0.114399999	0.109700002	0.120800003	0.117799997	0.113499999	0.113300003	0.107000001	0.119099997	0.106399998	0.108099997	0.103799999	0.112999998	0.1109	0.1184	0.117899999	0.111900002	0.113200001	0.115500003	0.112400003	0.106899999	0.113700002	0.107000001	0.107500002	0.107900001	0.109800003	0.121799998	0.126499996	0.120800003	0.109700002	0.114200003	0.114399999	0.1096	0.114299998	0.110299997	0.118900001	0.108099997	0.113700002	0.114399999	0.127200007	0.124399997	0.114399999	0.111100003	0.118199997	0.130199999	0.121100001	0.112300001	0.114500001	0.111699998	0.114200003	0.117600001	0.1131	0.119199999	0.110200003	0.1127	0.117600001	0.1118	0.115599997	0.113600001	0.118699998	0.116400003	0.110100001	0.111599997	0.114799999	0.112099998	0.117899999	0.116400003	0.119800001	0.116300002	0.1184	0.111199997	0.105599999	0.116899997	0.105999999	0.115900002	0.110200003	0.120099999	0.1109	0.113200001	0.1184	0.113700002	0.125499994	0.1105	0.111599997	0.126399994	0.114200003	0.1237	0.131600007	0.117299996	0.1153	0.116999999	0.122199997	0.130899996	0.131400004	0.108999997
27.94166667	0.1105	0.106899999	0.113899998	0.109499998	0.120800003	0.117700003	0.113600001	0.113399997	0.107299998	0.119099997	0.105999999	0.108499996	0.104099996	0.1131	0.1105	0.118199997	0.118000001	0.112000003	0.112400003	0.115500003	0.113300003	0.107500002	0.113899998	0.108099997	0.107299998	0.108099997	0.109800003	0.1215	0.1259	0.120700002	0.110200003	0.114500001	0.114600003	0.1105	0.114	0.111199997	0.117899999	0.107799999	0.112800002	0.114	0.126100004	0.121600002	0.112000003	0.110299997	0.119199999	0.127299994	0.1215	0.112800002	0.111900002	0.111299999	0.114	0.117200002	0.112800002	0.119199999	0.110399999	0.112199999	0.117700003	0.112000003	0.116099998	0.1131	0.117299996	0.116400003	0.1083	0.111699998	0.114699997	0.112000003	0.114799999	0.116499998	0.119599998	0.116400003	0.118199997	0.111000001	0.105999999	0.116899997	0.106299996	0.115999997	0.1105	0.119999997	0.111100003	0.112999998	0.118900001	0.113499999	0.125499994	0.110399999	0.1118	0.127399996	0.113899998	0.123300001	0.132599995	0.117200002	0.114799999	0.116999999	0.122199997	0.130700007	0.131300002	0.108800001
41.88666667	0.1105	0.105700001	0.113899998	0.109200001	0.120899998	0.117600001	0.113799997	0.113300003	0.107799999	0.119099997	0.107000001	0.1087	0.104800001	0.112999998	0.110600002	0.118100002	0.118100002	0.112000003	0.112599999	0.115599997	0.113600001	0.108099997	0.114399999	0.108499996	0.106799997	0.108000003	0.1096	0.121600002	0.125799999	0.120700002	0.110699996	0.114399999	0.114699997	0.110299997	0.114399999	0.115599997	0.1175	0.107600003	0.113200001	0.113399997	0.125200003	0.120800003	0.113700002	0.110600002	0.120499998	0.127299994	0.121699996	0.113200001	0.112000003	0.111599997	0.114100002	0.1175	0.1131	0.118500002	0.110699996	0.112499997	0.118000001	0.112400003	0.1162	0.113399997	0.116400003	0.115999997	0.108599998	0.111500002	0.114699997	0.111900002	0.1153	0.116499998	0.117899999	0.116700001	0.118500002	0.111500002	0.105800003	0.117200002	0.106600001	0.116499998	0.1109	0.119999997	0.111400001	0.113200001	0.1197	0.113899998	0.125599995	0.109899998	0.1118	0.121799998	0.113899998	0.123099998	0.132499993	0.117299996	0.114699997	0.117399998	0.122299999	0.130899996	0.131400004	0.108199999
55.83333333	0.111599997	0.106299996	0.114500001	0.109800003	0.121699996	0.118699998	0.114600003	0.114299998	0.108800001	0.1206	0.108199999	0.1109	0.104800001	0.113799997	0.112899996	0.118799999	0.118600003	0.1127	0.113700002	0.116499998	0.114100002	0.1083	0.114299998	0.109700002	0.107699998	0.1087	0.1105	0.122000001	0.127299994	0.122100003	0.111000001	0.115699999	0.115900002	0.1109	0.115699999	0.114399999	0.117899999	0.1083	0.113600001	0.1149	0.125400007	0.120399997	0.113799997	0.111599997	0.121200003	0.127800003	0.123099998	0.114500001	0.116499998	0.112099998	0.114399999	0.117799997	0.113600001	0.1184	0.111199997	0.113200001	0.118799999	0.1131	0.116999999	0.114500001	0.116099998	0.116599999	0.108999997	0.112099998	0.115599997	0.112599999	0.115000002	0.117399998	0.119400002	0.1175	0.1193	0.112499997	0.106600001	0.1171	0.107000001	0.117200002	0.111699998	0.120499998	0.112199999	0.113799997	0.120499998	0.115099996	0.126499996	0.109999999	0.1127	0.126499996	0.114600003	0.123499997	0.133399993	0.117799997	0.115900002	0.118299998	0.123599999	0.131200001	0.132300004	0.108000003
69.77833333	0.112400003	0.106700003	0.116599999	0.110200003	0.122599997	0.1193	0.115699999	0.1149	0.110600002	0.122100003	0.109399997	0.112499997	0.105300002	0.114399999	0.111500002	0.119499996	0.119599998	0.113499999	0.114600003	0.1175	0.116099998	0.110399999	0.115900002	0.111299999	0.108400002	0.109399997	0.111599997	0.122900002	0.127700001	0.122599997	0.112499997	0.1162	0.117399998	0.112899996	0.116999999	0.118199997	0.118600003	0.108999997	0.114	0.115999997	0.125799999	0.1215	0.114799999	0.112400003	0.123000003	0.130500004	0.123899996	0.116099998	0.116099998	0.112400003	0.1153	0.118699998	0.1153	0.119499996	0.112300001	0.114200003	0.120499998	0.115000002	0.118299998	0.116400003	0.116300002	0.1171	0.109899998	0.113200001	0.116400003	0.113399997	0.114600003	0.118299998	0.117799997	0.118600003	0.120399997	0.114100002	0.107699998	0.117299996	0.107900001	0.117799997	0.1127	0.121299997	0.112999998	0.114399999	0.121799998	0.116899997	0.127399996	0.109999999	0.113200001	0.125100002	0.1153	0.123800002	0.134200007	0.1184	0.117399998	0.119199999	0.125	0.132699996	0.133399993	0.1074
83.725	0.114299998	0.108900003	0.116400003	0.111400001	0.124200001	0.120899998	0.117700003	0.116499998	0.112800002	0.124700002	0.111699998	0.1149	0.106299996	0.115900002	0.114299998	0.120800003	0.121100001	0.115000002	0.116999999	0.118699998	0.1175	0.1131	0.119000003	0.114299998	0.109399997	0.1105	0.112300001	0.1241	0.128800005	0.123899996	0.113899998	0.117299996	0.119099997	0.1149	0.118799999	0.122000001	0.119099997	0.111400001	0.1153	0.118000001	0.126300007	0.121299997	0.116700001	0.113700002	0.1237	0.130700007	0.126300007	0.118299998	0.119099997	0.113600001	0.116400003	0.119499996	0.116800003	0.121399999	0.113700002	0.115500003	0.122400001	0.116999999	0.119900003	0.118199997	0.117700003	0.118299998	0.111400001	0.113899998	0.117700003	0.1149	0.116499998	0.1197	0.120099999	0.120300002	0.122000001	0.116400003	0.108400002	0.118699998	0.109300002	0.119199999	0.114399999	0.122500002	0.115000002	0.115999997	0.123599999	0.118600003	0.128900006	0.109999999	0.114299998	0.128999993	0.116400003	0.124600001	0.135199994	0.121299997	0.118000001	0.120999999	0.126599997	0.134100005	0.135100007	0.1074
97.67	0.116300002	0.110699996	0.117700003	0.1131	0.126000002	0.122699998	0.120499998	0.118600003	0.115900002	0.127800003	0.116700001	0.119499996	0.108000003	0.117600001	0.114399999	0.122299999	0.1228	0.116700001	0.118900001	0.120399997	0.1206	0.115500003	0.121399999	0.116899997	0.111599997	0.112300001	0.114100002	0.125599995	0.131099999	0.126300007	0.116499998	0.119599998	0.122000001	0.117399998	0.121799998	0.125599995	0.120399997	0.111900002	0.116999999	0.119099997	0.128900006	0.123300001	0.117600001	0.115900002	0.127100006	0.133200005	0.128999993	0.121100001	0.1175	0.115199998	0.117799997	0.121200003	0.118699998	0.123000003	0.115800001	0.1175	0.125	0.119800001	0.122400001	0.121299997	0.118799999	0.119000003	0.1127	0.1153	0.119599998	0.116800003	0.118500002	0.1219	0.123300001	0.122699998	0.125200003	0.119900003	0.109999999	0.1197	0.1109	0.119900003	0.116300002	0.123899996	0.116899997	0.117299996	0.126000002	0.121399999	0.131200001	0.110399999	0.115999997	0.113799997	0.117799997	0.125799999	0.137600005	0.122199997	0.120200001	0.123000003	0.1294	0.136600003	0.1373	0.107299998
111.6166667	0.119999997	0.113600001	0.119999997	0.116899997	0.128700003	0.125300005	0.1237	0.121399999	0.119400002	0.131500006	0.122100003	0.124300003	0.110699996	0.119900003	0.116700001	0.124300003	0.125400007	0.119099997	0.122100003	0.123400003	0.124600001	0.119199999	0.124799997	0.1206	0.114500001	0.115000002	0.116700001	0.128199995	0.134000003	0.129800007	0.1197	0.122699998	0.125599995	0.120999999	0.125599995	0.126000002	0.122900002	0.114500001	0.119199999	0.122599997	0.131400004	0.125200003	0.120099999	0.118500002	0.129800007	0.136399999	0.132799998	0.125100002	0.120099999	0.117200002	0.119999997	0.123499997	0.121699996	0.125499994	0.118600003	0.120200001	0.128800005	0.123300001	0.125400007	0.123899996	0.121299997	0.121100001	0.114799999	0.116899997	0.121699996	0.119099997	0.121600002	0.1241	0.127100006	0.125499994	0.127299994	0.122699998	0.112499997	0.122299999	0.1131	0.121799998	0.119000003	0.126100004	0.119599998	0.119900003	0.129600003	0.124899998	0.134000003	0.110699996	0.1184	0.115699999	0.1197	0.127399996	0.139699996	0.124200001	0.123400003	0.125699997	0.132200003	0.1391	0.140300006	0.107100002
125.5633333	0.123099998	0.116700001	0.1303	0.118100002	0.131999999	0.128399998	0.127499998	0.124399997	0.123899996	0.136199996	0.123899996	0.128399998	0.113700002	0.122599997	0.1193	0.126800001	0.1285	0.1219	0.125499994	0.126699999	0.128600001	0.123999998	0.129899994	0.126599997	0.117899999	0.117700003	0.119199999	0.131099999	0.136999995	0.132400006	0.123000003	0.125300005	0.129099995	0.124399997	0.128900006	0.132200003	0.125400007	0.117299996	0.122599997	0.125799999	0.134200007	0.1285	0.123499997	0.121600002	0.133300006	0.140300006	0.136000007	0.128900006	0.121100001	0.119800001	0.123199999	0.126699999	0.125300005	0.128900006	0.1219	0.1237	0.132599995	0.127200007	0.129199997	0.128299996	0.1237	0.123199999	0.117700003	0.119599998	0.124799997	0.121799998	0.124700002	0.126800001	0.130799994	0.128600001	0.131699994	0.126599997	0.115199998	0.124200001	0.115900002	0.123800002	0.1219	0.129600003	0.122500002	0.122000001	0.132499993	0.128600001	0.137700006	0.110399999	0.121100001	0.126900002	0.122100003	0.129600003	0.142499998	0.132400006	0.1259	0.128600001	0.135800004	0.142000005	0.1461	0.107199997
